person_ID,name,email,phone
3130,"Burks, Rosella",BurksR@univ.edu,963.555.1253
3297,"Avila, Damien",AvilaD@univ.edu,963.555.1352
3547,"Olsen, Robin",OlsenR@univ.edu,963.555.1378
1538,"Moises, Edgar Estes",MoisesE@univ.edu,963.555.2731x3565
2941,"Brian, Heath Pruitt",BrianH@univ.edu,963.555.2800
2401,"Claude, Elvin Haney",ClaudeE@univ.edu,963.555.2902
2070,"Mosley, Edmund",MosleyE@univ.edu,963.555.2945
2561,"Derek, Antoine Mccoy",DerekA@univ.edu,963.555.2992
1625,"Hawkins, Callie",HawkinsC@univ.edu,963.555.3350x6480
1307,"Pate, Andrea",PateA@univ.edu,963.555.3723
2342,"Austin, Liz",AustinL@univ.edu,963.555.4305
2755,"Kendrick, Reba Alford",KendrickR@univ.edu,963.555.4618x7744
4150,"Sims, Angelina",SimsA@univ.edu,963.555.5278
