person_ID,name,email,phone
3544,"Mullins, Kimberly",MullinsK@univ.edu,963.555.5471x1017
2096,"Chuck, Lloyd Haney",ChuckL@univ.edu,963.555.5568x2652
1089,"Payne, Ladonna",PayneL@univ.edu,963.555.5639
2948,"Baxter, Johnathan Browning",BaxterJ@univ.edu,963.555.5902
4539,"Weiss, Gilbert",WeissG@univ.edu,963.555.5969
2811,"Deirdre, Florence Barrera",DeirdreF@univ.edu,963.555.6319
4580,"Fernando, Toby Calderon",FernandoT@univ.edu,963.555.6469
2895,"Garrison, Patrica",GarrisonP@univ.edu,963.555.6760
2254,"Effie, Leila Vinson",EffieL@univ.edu,963.555.6824
2389,"Buckley, Rose",BuckleyR@univ.edu,963.555.6855x5018
1699,"Stanton, Kathie",StantonK@univ.edu,963.555.7095
1567,"Banks, Shannon",BanksS@univ.edu,963.555.7198
3066,"Barnes, Cleo",BarnesC@univ.edu,963.555.7463x7335
